CSCX;CSC;Predio;Direccion;Pais;Departamento;Municipio;latitud;longitud
2456;1230;EDIFICIO COIMBRA;CARRERA 35A 3BIS-29;COLOMBIA;Valle del cauca;CALI;L;L%&
2485;55;CONJUNTO RESIDENCIAL LA ISABELA;CARRERA 38  37A-72;COLOMBIA;Valle del cauca;CALI;L;L%&
2506;2391;EDIFICIO ARDILA  ;CARRERA 4  10 -63 -67;COLOMBIA;Valle del cauca;CALI;L;L%&
2513;1478;COPROPIETARIOS DEL EDIFICIO DEL BANCO DE BOGOTA;CARRERA 4  11-45/55;COLOMBIA;Valle del cauca;CALI;L;L%&
2517;509;EDIFICIO GLORIA;CARRERA 4  24C-655 OESTE;COLOMBIA;Valle del cauca;CALI;L;L%&
2523;1633;EDIFICIO LOS TULIPANES;CARRERA 4 OESTE  1-103;COLOMBIA;Valle del cauca;CALI;L;L%&
2630;2972;EDIFICIO  ALHELI ;CARRERA 53 B  83 E-53;COLOMBIA;Valle del cauca;CALI;L;L%&
2675;1600;CONJUNTO RESIDENCIAL  VILLA ALEGRE;CARRERA 57  11- A-49;COLOMBIA;Valle del cauca;CALI;L;L%&
2678;338;EDIFICIO ATALANTA ;CARRERA 57  4-49;COLOMBIA;Valle del cauca;CALI;L;L%&
2701;550;EDIFICIO PRINCESS;CARRERA 59  1-56;COLOMBIA;Valle del cauca;CALI;L;L%&
2705;2752;EDIFICIO MULTIFAMILIAR LOS COLORES;CARRERA 59  5 - 41 / 43;COLOMBIA;Valle del cauca;CALI;L;L%&
2706;2946;EDIFICIO EVELYN;CARRERA 59  5 -36;COLOMBIA;Valle del cauca;CALI;L;L%&
2879;2763;EDIFICIO  LA GUABINERA  PROPIEDAD HORIZONTAL VIS -VIP ;CARRERA 83 D  53A -33;COLOMBIA;Valle del cauca;CALI;L;L%&
2881;2859;EDIFICIO MULTIFAMILIAR EL CIPRES;CARRERA 83 E  53 A - 33;COLOMBIA;Valle del cauca;CALI;L;L%&
2882;2856;EDIFICIO MULTIFAMILIAR LAS BROMELIAS;CARRERA 83 E  53 A - 57;COLOMBIA;Valle del cauca;CALI;L;L%&
2883;2975;EDIFICIO  CAMPANILLAS;CARRERA 83 E  54 - 58;COLOMBIA;Valle del cauca;CALI;L;L%&
2884;2990;CONJUNTO MULTIFAMILIAR CATTLEYA VIS;CARRERA 83 E  54 - 79;COLOMBIA;Valle del cauca;CALI;L;L%&
2886;2963;EDIFICIO BAMBU;CARRERA 83 F  53 A - 58;COLOMBIA;Valle del cauca;CALI;L;L%&
2887;2980;EDIFICIO ALGARROBO;CARRERA 83 F  54 - 57;COLOMBIA;Valle del cauca;CALI;L;L%&
2888;2958;EDIFICIO  EL BALSO ;CARRERA 83 F  54 - 58;COLOMBIA;Valle del cauca;CALI;L;L%&
2913;2964;EDIFICIO FRANCESI;CARRERA 84  53 A - 57;COLOMBIA;Valle del cauca;CALI;L;L%&
2914;2955;EDIFICIO LOS ROSALES ;CARRERA 84  54 - 57;COLOMBIA;Valle del cauca;CALI;L;L%&
2915;3051;EDIFICIO LOS PAPIROS;CARRERA 84  55 - 59;COLOMBIA;Valle del cauca;CALI;L;L%&
